spec_id,features,block,drop_start,drop_end,status,K_Y_h8,K_G_h8
investment_import_content,trade,drop_2004_2010,2004,2010,OK,3.565102185,0.771364942
investment_import_content,trade,drop_2011_2017,2011,2017,OK,1.725614239,0.829472049
investment_import_content,trade,drop_2018_2024,2018,2024,OK,1.296911971,0.625952468
public_debt,debt,drop_2004_2010,2004,2010,OK,0.602126462,0.603180326
public_debt,debt,drop_2011_2017,2011,2017,OK,2.201724311,0.913199848
public_debt,debt,drop_2018_2024,2018,2024,OK,1.280869482,0.682304530
household_net_financial_worth,liq,drop_2004_2010,2004,2010,OK,2.129758949,0.685214668
household_net_financial_worth,liq,drop_2011_2017,2011,2017,OK,2.208116663,0.878896302
household_net_financial_worth,liq,drop_2018_2024,2018,2024,OK,1.958651856,0.700929112
real_ppp_income,log_gdp_pc,drop_2004_2010,2004,2010,OK,0.625704047,0.739573468
real_ppp_income,log_gdp_pc,drop_2011_2017,2011,2017,OK,1.343452155,0.797621659
real_ppp_income,log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.147559300,0.538237989
investment_import_content__public_debt,trade+debt,drop_2004_2010,2004,2010,OK,0.900031159,0.450657537
investment_import_content__public_debt,trade+debt,drop_2011_2017,2011,2017,OK,1.488277979,0.847607821
investment_import_content__public_debt,trade+debt,drop_2018_2024,2018,2024,OK,0.762919200,0.606823090
investment_import_content__household_net_financial_worth,trade+liq,drop_2004_2010,2004,2010,OK,3.265572305,0.712059939
investment_import_content__household_net_financial_worth,trade+liq,drop_2011_2017,2011,2017,OK,1.513384407,0.813242733
investment_import_content__household_net_financial_worth,trade+liq,drop_2018_2024,2018,2024,OK,1.501877126,0.646279409
investment_import_content__real_ppp_income,trade+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.012260778,0.714825437
investment_import_content__real_ppp_income,trade+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.669766426,0.736276065
investment_import_content__real_ppp_income,trade+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.172262614,0.474360021
public_debt__household_net_financial_worth,debt+liq,drop_2004_2010,2004,2010,OK,1.441192413,0.572005705
public_debt__household_net_financial_worth,debt+liq,drop_2011_2017,2011,2017,OK,1.875872938,0.883553242
public_debt__household_net_financial_worth,debt+liq,drop_2018_2024,2018,2024,OK,1.275049543,0.660376940
public_debt__real_ppp_income,debt+log_gdp_pc,drop_2004_2010,2004,2010,OK,0.433863730,0.565484852
public_debt__real_ppp_income,debt+log_gdp_pc,drop_2011_2017,2011,2017,OK,1.312401171,0.863568431
public_debt__real_ppp_income,debt+log_gdp_pc,drop_2018_2024,2018,2024,OK,0.194446358,0.604152782
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.103207543,0.633412161
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.762621974,0.814398981
household_net_financial_worth__real_ppp_income,liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.507573922,0.497927060
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,drop_2004_2010,2004,2010,OK,1.576740220,0.468785414
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,drop_2011_2017,2011,2017,OK,1.169135173,0.816522657
investment_import_content__public_debt__household_net_financial_worth,trade+debt+liq,drop_2018_2024,2018,2024,OK,0.860554061,0.609334560
investment_import_content__public_debt__real_ppp_income,trade+debt+log_gdp_pc,drop_2004_2010,2004,2010,OK,0.536049106,0.380086265
investment_import_content__public_debt__real_ppp_income,trade+debt+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.370546750,0.774575087
investment_import_content__public_debt__real_ppp_income,trade+debt+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.103246982,0.519391376
investment_import_content__household_net_financial_worth__real_ppp_income,trade+liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.383793951,0.633091594
investment_import_content__household_net_financial_worth__real_ppp_income,trade+liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.128833507,0.760345497
investment_import_content__household_net_financial_worth__real_ppp_income,trade+liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.149029347,0.481074299
public_debt__household_net_financial_worth__real_ppp_income,debt+liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.339247837,0.515592692
public_debt__household_net_financial_worth__real_ppp_income,debt+liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,0.699004873,0.862792063
public_debt__household_net_financial_worth__real_ppp_income,debt+liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.100538143,0.554425971
investment_import_content__public_debt__household_net_financial_worth__real_ppp_income,trade+debt+liq+log_gdp_pc,drop_2004_2010,2004,2010,OK,1.365428939,0.388312942
investment_import_content__public_debt__household_net_financial_worth__real_ppp_income,trade+debt+liq+log_gdp_pc,drop_2011_2017,2011,2017,OK,-0.089945113,0.785009849
investment_import_content__public_debt__household_net_financial_worth__real_ppp_income,trade+debt+liq+log_gdp_pc,drop_2018_2024,2018,2024,OK,-0.065106228,0.515433931
