features,horizon,status,nobs,wald_y_h8,p_wald_y_h8,spec_id,feature_count,p_wald_y_h8_bonferroni,q_wald_y_h8_bh,raw_p_rank,raw_p_pass_unadjusted
trade,8,OK,351,8.390818703,0.003771210,investment_import_content,1,0.056568152,0.056568152,1.000000000,True
debt,8,OK,351,2.419546172,0.119829641,public_debt,1,1.000000000,0.599148207,3.000000000,False
liq,8,OK,351,6.163208456,0.013043441,household_net_financial_worth,1,0.195651611,0.097825805,2.000000000,True
log_gdp_pc,8,OK,351,0.537916499,0.463297482,real_ppp_income,1,1.000000000,0.975770928,4.000000000,False
trade+debt,8,OK,351,0.221163113,0.895313308,investment_import_content__public_debt,2,1.000000000,0.975770928,10.000000000,False
trade+liq,8,OK,351,0.724165301,0.696224822,investment_import_content__household_net_financial_worth,2,1.000000000,0.975770928,8.000000000,False
trade+log_gdp_pc,8,OK,351,0.783549322,0.675856393,investment_import_content__real_ppp_income,2,1.000000000,0.975770928,6.000000000,False
debt+liq,8,OK,351,0.434589144,0.804692894,public_debt__household_net_financial_worth,2,1.000000000,0.975770928,9.000000000,False
debt+log_gdp_pc,8,OK,351,0.213311720,0.898834945,public_debt__real_ppp_income,2,1.000000000,0.975770928,11.000000000,False
liq+log_gdp_pc,8,OK,351,0.196802651,0.906285116,household_net_financial_worth__real_ppp_income,2,1.000000000,0.975770928,12.000000000,False
trade+debt+liq,8,OK,351,0.315801574,0.957029747,investment_import_content__public_debt__household_net_financial_worth,3,1.000000000,0.975770928,13.000000000,False
trade+debt+log_gdp_pc,8,OK,351,1.603687583,0.658553974,investment_import_content__public_debt__real_ppp_income,3,1.000000000,0.975770928,5.000000000,False
trade+liq+log_gdp_pc,8,OK,351,1.464710207,0.690438814,investment_import_content__household_net_financial_worth__real_ppp_income,3,1.000000000,0.975770928,7.000000000,False
debt+liq+log_gdp_pc,8,OK,351,0.263772244,0.966691430,public_debt__household_net_financial_worth__real_ppp_income,3,1.000000000,0.975770928,14.000000000,False
trade+debt+liq+log_gdp_pc,8,OK,351,0.476255863,0.975770928,investment_import_content__public_debt__household_net_financial_worth__real_ppp_income,4,1.000000000,0.975770928,15.000000000,False
